,model_name,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,mig_profile
0,resnet50,1,20.94,0.34,47.76,1661698474,1661698595,7g.80gb
0,resnet50,2,21.23,0.61,94.19,1661698605,1661698726,7g.80gb
0,resnet50,4,22.24,0.42,179.85,1661698736,1661698857,7g.80gb
0,resnet50,8,22.45,0.75,356.27,1661698867,1661698988,7g.80gb
0,resnet50,16,27.09,0.17,590.54,1661698998,1661699119,7g.80gb
0,resnet50,32,44.31,0.02,722.21,1661699130,1661699251,7g.80gb
0,resnet50,64,79.41,0.06,805.98,1661699263,1661699384,7g.80gb
0,resnet50,128,146.94,0.04,871.1,1661699398,1661699519,7g.80gb
0,resnet50,256,284.65,0.08,899.35,1661699537,1661699658,7g.80gb
0,resnet50,1,19.21,0.48,52.05,1661699680,1661699801,3g.40gb
0,resnet50,2,22.2,0.43,90.08,1661699811,1661699932,3g.40gb
0,resnet50,4,21.65,0.15,184.74,1661699942,1661700063,3g.40gb
0,resnet50,8,29.18,0.15,274.19,1661700073,1661700194,3g.40gb
0,resnet50,16,46.41,0.03,344.72,1661700205,1661700326,3g.40gb
0,resnet50,32,80.67,0.04,396.7,1661700338,1661700459,3g.40gb
0,resnet50,64,147.46,0.04,434.02,1661700473,1661700594,3g.40gb
0,resnet50,128,281.33,0.06,454.98,1661700610,1661700731,3g.40gb
0,resnet50,256,549.22,0.06,466.11,1661700754,1661700875,3g.40gb
0,resnet50,1,20.41,0.62,48.99,1661700896,1661701017,2g.20gb
0,resnet50,2,23.13,0.39,86.45,1661701027,1661701148,2g.20gb
0,resnet50,4,30.08,0.25,133.0,1661701158,1661701279,2g.20gb
0,resnet50,8,45.6,0.02,175.44,1661701290,1661701411,2g.20gb
0,resnet50,16,74.99,0.03,213.35,1661701423,1661701544,2g.20gb
0,resnet50,32,133.6,0.05,239.52,1661701557,1661701678,2g.20gb
0,resnet50,64,247.12,0.06,258.99,1661701693,1661701814,2g.20gb
0,resnet50,128,477.0,0.07,268.34,1661701835,1661701956,2g.20gb
0,resnet50,1,31.01,0.11,32.24,1661701987,1661702108,1g.10gb
0,resnet50,2,40.68,0.05,49.16,1661702119,1661702240,1g.10gb
0,resnet50,4,56.67,0.08,70.58,1661702251,1661702372,1g.10gb
0,resnet50,8,87.22,0.03,91.73,1661702384,1661702505,1g.10gb
0,resnet50,16,145.04,0.05,110.31,1661702518,1661702639,1g.10gb
0,resnet50,32,259.86,0.05,123.14,1661702654,1661702775,1g.10gb
0,resnet50,64,485.53,0.08,131.82,1661702795,1661702916,1g.10gb
