,Unnamed: 0,model_name,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,mig_profile,gract_mean,gract_std,fb_used_mean,fb_used_std
3,0,resnet50,8,22.45,0.75,356.27,1661698867,1661698988,7g.80gb,0.707,0.067,2759.197,84.231
4,0,resnet50,16,27.09,0.17,590.54,1661698998,1661699119,7g.80gb,0.826,0.079,3532.623,125.148
5,0,resnet50,32,44.31,0.02,722.21,1661699130,1661699251,7g.80gb,0.814,0.005,5067.525,247.23
6,0,resnet50,64,79.41,0.06,805.98,1661699263,1661699384,7g.80gb,0.819,0.011,8233.459,511.951
7,0,resnet50,128,146.94,0.04,871.1,1661699398,1661699519,7g.80gb,0.814,0.019,14695.131,1065.557
8,0,resnet50,256,284.65,0.08,899.35,1661699537,1661699658,7g.80gb,0.813,0.022,28102.0,0.0
12,0,resnet50,8,29.18,0.15,274.19,1661700073,1661700194,3g.40gb,0.895,0.085,2534.41,61.492
13,0,resnet50,16,46.41,0.03,344.72,1661700205,1661700326,3g.40gb,0.901,0.047,3302.541,126.049
14,0,resnet50,32,80.67,0.04,396.7,1661700338,1661700459,3g.40gb,0.89,0.004,4837.852,243.623
15,0,resnet50,64,147.46,0.04,434.02,1661700473,1661700594,3g.40gb,0.899,0.006,8003.459,511.951
16,0,resnet50,128,281.33,0.06,454.98,1661700610,1661700731,3g.40gb,0.9,0.023,14465.131,1065.557
17,0,resnet50,256,549.22,0.06,466.11,1661700754,1661700875,3g.40gb,0.894,0.059,27672.787,2191.344
21,0,resnet50,8,45.6,0.02,175.44,1661701290,1661701411,2g.20gb,0.935,0.036,2470.344,62.213
22,0,resnet50,16,74.99,0.03,213.35,1661701423,1661701544,2g.20gb,0.934,0.044,3238.623,125.148
23,0,resnet50,32,133.6,0.05,239.52,1661701557,1661701678,2g.20gb,0.932,0.004,4796.0,0.0
24,0,resnet50,64,247.12,0.06,258.99,1661701693,1661701814,2g.20gb,0.937,0.007,7986.0,0.0
25,0,resnet50,128,477.0,0.07,268.34,1661701835,1661701956,2g.20gb,0.942,0.003,14498.0,0.0
26,0,resnet50,256,0,0,0,0,0,2g.20gb,0,0,0,0
30,0,resnet50,8,87.22,0.03,91.73,1661702384,1661702505,1g.10gb,0.967,0.002,2414.0,0.0
31,0,resnet50,16,145.04,0.05,110.31,1661702518,1661702639,1g.10gb,0.965,0.003,3188.0,0.0
32,0,resnet50,32,259.86,0.05,123.14,1661702654,1661702775,1g.10gb,0.967,0.004,4734.0,0.0
33,0,resnet50,64,485.53,0.08,131.82,1661702795,1661702916,1g.10gb,0.965,0.002,7924.0,0.0
34,0,resnet50,128,0,0,0,0,0,1g.10gb,0,0,0,0
35,0,resnet50,256,0,0,0,0,0,1g.10gb,0,0,0,0

